company_id,company_name,ticker,aliases,subsidiaries,market_cap_jpy,target,technology_tags
JP130A,株式会社Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ,130A,,,0,1,バイオ・創薬|光学・量子・精密
JP1333,Ｕｍｉｏｓ株式会社,1333,,,197672000000,1,AI・ソフトウェア|バイオ・創薬
JP1407,株式会社ウエストホールディングス,1407,,,0,1,脱炭素・次世代エネルギー
JP1605,株式会社ＩＮＰＥＸ,1605,,,3767819000000,1,脱炭素・次世代エネルギー
JP167A,リョーサン菱洋ホールディングス株式会社,167A,,,0,1,サイバーセキュリティ|半導体・製造装置
JP177A,コージンバイオ株式会社,177A,,,4437000000,1,バイオ・創薬|脱炭素・次世代エネルギー
JP1801,大成建設株式会社,1801,,,2388084000000,1,半導体・製造装置|自動運転・次世代モビリティ|計測・制御
JP186A,株式会社アストロスケールホールディングス,186A,,,168562000000,1,宇宙・防衛
JP190A,Ｃｈｏｒｄｉａ Ｔｈｅｒａｐｅｕｔｉｃｓ株式会社,190A,,,0,1,バイオ・創薬|医療機器
JP1963,日揮ホールディングス株式会社,1963,,,0,1,AI・ソフトウェア|サイバーセキュリティ|ロボティクス・FA|光学・量子・精密|半導体・製造装置|宇宙・防衛|脱炭素・次世代エネルギー|自動運転・次世代モビリティ|電池・先端材料
JP1980,ダイダン株式会社,1980,,,0,1,AI・ソフトウェア|バイオ・創薬|半導体・製造装置
JP206A,株式会社ＰＲＩＳＭ ＢｉｏＬａｂ,206A,,,0,1,AI・ソフトウェア|バイオ・創薬
JP2136,株式会社ヒップ,2136,,,0,1,ロボティクス・FA|医療機器|半導体・製造装置|自動運転・次世代モビリティ
JP2158,株式会社ＦＲＯＮＴＥＯ,2158,,,0,1,バイオ・創薬|医療機器
JP2160,株式会社ジーエヌアイグループ,2160,,,0,1,バイオ・創薬
JP219A,Ｈｅａｒｔｓｅｅｄ株式会社,219A,,,0,1,バイオ・創薬
JP2264,森永乳業株式会社,2264,,,0,1,バイオ・創薬|ロボティクス・FA
JP2267,株式会社ヤクルト本社,2267,,,821716000000,1,バイオ・創薬
JP2326,デジタルアーツ株式会社,2326,,,0,1,AI・ソフトウェア|サイバーセキュリティ
JP2342,株式会社トランスジェニックグループ,2342,,,0,1,バイオ・創薬
JP2370,株式会社メディネット,2370,,,0,1,バイオ・創薬
JP2395,株式会社新日本科学,2395,,,0,1,バイオ・創薬
JP2503,キリンホールディングス株式会社,2503,,,0,1,バイオ・創薬
JP2531,宝ホールディングス株式会社,2531,,,0,1,バイオ・創薬
JP255A,ジーエルテクノホールディングス株式会社,255A,,,82727000000,1,サイバーセキュリティ|光学・量子・精密|半導体・製造装置
JP268A,リガク・ホールディングス株式会社,268A,,,0,1,AI・ソフトウェア|ロボティクス・FA|光学・量子・精密|半導体・製造装置|電池・先端材料
JP2721,株式会社ジェイホールディングス,2721,,,0,1,バイオ・創薬|電池・先端材料
JP2760,東京エレクトロンデバイス株式会社,2760,,,0,1,サイバーセキュリティ|光学・量子・精密|半導体・製造装置
JP2801,キッコーマン株式会社,2801,,,1511647000000,1,バイオ・創薬
JP2802,味の素株式会社,2802,,,5894818000000,1,AI・ソフトウェア|バイオ・創薬|半導体・製造装置|自動運転・次世代モビリティ
JP285A,キオクシアホールディングス株式会社,285A,,,0,1,AI・ソフトウェア|半導体・製造装置
JP290A,株式会社Ｓｙｎｓｐｅｃｔｉｖｅ,290A,,,0,1,光学・量子・精密|宇宙・防衛|宇宙・防衛・重工
JP2931,株式会社ユーグレナ,2931,,,0,1,バイオ・創薬|脱炭素・次世代エネルギー
JP2962,株式会社テクニスコ,2962,,,0,1,医療機器|半導体・製造装置|宇宙・防衛|脱炭素・次世代エネルギー|自動運転・次世代モビリティ|電子部品
JP3040,株式会社ソリトンシステムズ,3040,,,0,1,サイバーセキュリティ
JP3101,東洋紡株式会社,3101,,,0,1,バイオ・創薬|医療機器|半導体・製造装置
