ticker,status,company_name,latest_filing,selection_score,selection_reason
1407,included_curated,株式会社ウエストホールディングス,2025-11-25,,既存監視対象
1605,included_curated,株式会社ＩＮＰＥＸ,2026-03-26,,既存監視対象
186A,included_curated,株式会社アストロスケールホールディングス,2025-07-29,,既存監視対象
2160,included_curated,株式会社ジーエヌアイグループ,2026-03-27,,既存監視対象
219A,included_curated,Ｈｅａｒｔｓｅｅｄ株式会社,2026-03-26,,既存監視対象
2326,included_curated,デジタルアーツ株式会社,2026-06-25,,既存監視対象
2395,included_curated,株式会社新日本科学,2026-06-25,,既存監視対象
3040,included_curated,株式会社ソリトンシステムズ,2026-03-24,,既存監視対象
3116,included_curated,トヨタ紡織株式会社,2026-06-09,,既存監視対象
3401,included_curated,帝人株式会社,2026-06-18,,既存監視対象
3402,included_curated,東レ株式会社,2026-06-22,,既存監視対象
3405,included_curated,株式会社クラレ,2026-03-25,,既存監視対象
3407,included_curated,旭化成株式会社,2026-06-24,,既存監視対象
3436,included_curated,株式会社ＳＵＭＣＯ,2026-03-26,,既存監視対象
3655,included_curated,株式会社ブレインパッド,2025-09-25,,既存監視対象
3692,included_curated,株式会社ＦＦＲＩセキュリティ,2026-06-25,,既存監視対象
3774,included_curated,株式会社インターネットイニシアティブ,2026-06-25,,既存監視対象
3778,included_curated,さくらインターネット株式会社,2026-06-15,,既存監視対象
3857,not_found_in_edinet_master,,,,
3905,included_curated,データセクション株式会社,2026-06-29,,既存監視対象
3914,included_curated,ＪＩＧ－ＳＡＷ株式会社,2026-03-24,,既存監視対象
3993,included_curated,株式会社ＰＫＳＨＡ Ｔｅｃｈｎｏｌｏｇｙ,2025-12-22,,既存監視対象
4004,included_curated,株式会社レゾナック・ホールディングス,2026-03-25,,既存監視対象
4005,included_curated,住友化学株式会社,2026-06-22,,既存監視対象
4021,included_curated,日産化学株式会社,2026-06-24,,既存監視対象
4042,included_curated,東ソー株式会社,2026-06-24,,既存監視対象
4043,included_curated,株式会社トクヤマ,2026-06-19,,既存監視対象
4055,included_curated,ティアンドエスグループ株式会社,2025-12-25,,既存監視対象
4061,included_curated,デンカ株式会社,2026-06-17,,既存監視対象
4062,included_curated,イビデン株式会社,2026-06-18,,既存監視対象
